,Date,Steps,Floors Climbed,Total Miles,Lightly Active Miles,Moderately Active Miles,Very Active Miles,Sedentary Minutes,Lightly Active Minutes,Fairly Active Minutes,Very Active Minutes,HR 30-100 Minutes,HR 100-140 Minutes,HR 140-170 Minutes,HR 170-220 Minutes,Average Resting HR,BMI,Minutes Alseep,Sleep Efficiency,Weight,username
0,2020-02-13,10461,19,4.67,2.84,0.37,1.44,750,182,10,26,1271.0,94.0,0.0,0.0,65.0,,421.0,89.0,,merckTeam
1,2020-02-14,7095,10,3.09,1.1,0.44,1.56,691,101,15,33,1174.0,60.0,0.0,0.0,62.0,,68.0,96.0,,merckTeam
2,2020-02-15,1705,0,0.72,0.72,0.0,0.0,1199,90,0,0,758.0,0.0,0.0,0.0,62.0,,68.0,93.0,,merckTeam
3,2020-02-16,9651,12,4.21,2.27,0.89,0.9,746,148,21,20,1232.0,30.0,0.0,0.0,59.0,,96.0,98.0,,merckTeam
4,2020-02-17,8538,7,3.74,1.76,0.51,1.47,759,129,18,30,1370.0,49.0,0.0,0.0,60.0,,488.0,97.0,,merckTeam
5,2020-02-18,6888,6,3.0,1.46,0.28,1.24,851,75,9,26,1349.0,44.0,0.0,0.0,60.0,,472.0,99.0,,merckTeam
6,2020-02-19,5643,4,2.46,0.67,0.12,1.66,827,70,3,33,1299.0,28.0,0.0,0.0,59.0,,489.0,96.0,,merckTeam
7,2020-02-20,10309,21,0.184696,0.32,2.62,0.184696,768,116,12,53,1295.0,76.0,1.0,0.0,60.0,24.76,482.0,98.0,157.7,merckTeam
8,2020-02-21,8298,13,3.59,1.56,0.22,1.81,613,114,8,38,1108.0,38.0,0.0,0.0,61.0,,464.0,98.0,,merckTeam
9,2020-02-22,11137,18,4.85,2.19,0.68,1.98,1190,170,19,41,645.0,68.0,0.0,0.0,61.0,,,,,merckTeam
10,2020-02-23,8417,13,3.69,2.51,0.29,0.84,694,169,12,18,1291.0,44.0,2.0,0.0,61.0,,527.0,96.0,,merckTeam
11,2020-02-24,7781,10,3.36,1.7,0.17,1.5,831,109,5,32,1384.0,42.0,0.0,0.0,61.0,,438.0,95.0,,merckTeam
12,2020-02-25,6197,10,2.7,1.39,0.05,1.24,828,87,3,26,1213.0,38.0,0.0,0.0,61.0,,475.0,97.0,,merckTeam
13,2020-02-26,7304,8,3.17,1.0,0.31,1.86,815,89,12,37,1315.0,48.0,0.0,0.0,60.0,,446.0,97.0,,merckTeam
14,2020-02-27,7485,12,0.26518800000000003,0.03,0.52,0.26518800000000003,801,166,1,9,1169.0,38.0,0.0,0.0,60.0,,452.0,98.0,,merckTeam
15,2020-02-28,9342,12,4.21,3.12,0.25,0.81,668,338,7,16,1252.0,183.0,0.0,0.0,60.0,,385.0,94.0,,merckTeam
16,2020-02-29,4151,4,1.79,1.35,0.34,0.09,461,475,35,10,814.0,582.0,1.0,0.0,67.0,,69.0,88.0,,merckTeam
17,2020-03-01,7025,6,3.06,1.9,0.37,0.79,530,254,23,16,1180.0,256.0,0.0,0.0,69.0,,600.0,97.0,,merckTeam
18,2020-03-02,13819,21,6.07,3.05,1.2,1.81,481,283,59,42,1016.0,335.0,4.0,0.0,70.0,,507.0,88.0,,merckTeam
19,2020-03-03,7650,21,3.34,2.55,0.6,0.19,791,224,15,4,937.0,114.0,0.0,0.0,69.0,,389.0,96.0,,merckTeam
20,2020-03-04,0,0,0.0,0.0,0.0,0.0,1440,0,0,0,,,,,,,,,,merckTeam
21,2020-03-05,9140,17,3.99,2.56,0.45,0.97,793,166,15,20,1338.0,66.0,0.0,0.0,64.0,,404.0,91.0,,merckTeam
22,2020-03-06,10854,24,4.79,2.2,0.34,2.0,762,174,23,44,1051.0,103.0,0.0,0.0,62.0,,427.0,98.0,,merckTeam
